,Title,Agency,Department,Department_code,Techniques,Summary,Processed_Summary,Cluster,topics
759,PATH Model,"Office of Analytics, Review, and Oversight",Social Security Administration,SSA,MACHINE LEARNING,This model uses machine learning to identify cases likely to receive an allowance at the hearing level and refer them to administrative law judges or senior adjudicators for prioritized review.,model uses machine learning identify cases likely receive allowance hearing level refer administrative law judges senior adjudicators prioritized review,1,Service delivery
760,Insight,"Office of Analytics, Review, and Oversight; Office of Hearing Operations, Office of Disability Systems",Social Security Administration,SSA,"NATURAL LANGUAGE PROCESSING, ARTIFICIAL INTELLIGENCE, DECISION MAKING","Insight is decision support software used by hearings and appeals-level Disability Program adjudicators to help maximize the quality, speed, and consistency of their decision making.  Insight analyzes the free text of disability decisions and other case data to offer adjudicators real-time alerts on potential quality issues and case-specific reference information within a web application.  It also offers adjudicators a series of interactive tools to help streamline their work.  Adjudicators can leverage these features to speed their work and fix issues before the case moves forward (e.g. to another reviewing employee or to the claimant).  Insightï¿½s features are powered by several natural language processing and artificial intelligence packages and techniques.",insight decision support software used hearings disability program adjudicators help maximize quality speed consistency decision making insight analyzes free text disability decisions case data offer adjudicators alerts potential quality issues reference information within web application also offers adjudicators series interactive tools help streamline work adjudicators leverage features speed work fix issues case moves forward another reviewing employee claimant features powered several natural language processing artificial intelligence packages techniques,14,"Accessibility: using AI for translation / interpretation, section 508 compliance, plain language, or other activities to increase accessibility of documents and interactions with the government"
761,Intelligent Medical Language Analysis Generation (IMAGEN),"Office of Disability Determinations, Office of Disability Information Systems",Social Security Administration,SSA,"MACHINE LEARNING, NATURAL LANGUAGE PROCESSING, NLP","IMAGEN is an IT Modernization Disability Analytics & Disability Decision Support (ADDS) Product that will provide new tools and services to visualize, search and more easily identify relevant clinical content in medical records.  These tools and services will improve the efficiency and consistency of disability determinations and decisions and provide a foundation for machine-based decisional guidance. IMAGEN will transform text to data and enable disability adjudicators to leverage various machine learning technologies like Natural Language Processing (NLP) and predictive analytics and will support other high-priority agency initiatives such as fraud prevention and detection.",imagen modernization disability analytics disability decision support adds product provide new tools services visualize search easily identify relevant clinical content medical records tools services improve efficiency consistency disability determinations decisions provide foundation decisional guidance imagen transform text data enable disability adjudicators leverage various machine learning technologies like natural language processing nlp predictive analytics support agency initiatives fraud prevention detection,9,Accessibility
762,Duplicate Identification Process (DIP),"Office of Disability Information Systems, Office of Hearing Operations, Office of Appellate Operations",Social Security Administration,SSA,,"Duplicate Identification Process's (DIP's) objective is to help the user toï¿½identify and flagï¿½and mark duplicatesï¿½more efficiently, reducing the amountï¿½of time spent to reviewï¿½cases forï¿½hearings.ï¿½DIP uses artificialï¿½intelligence software in the form of image recognition technology to accuratelyï¿½identify duplicates consistent with SSAï¿½policy.?",duplicate identification process dip objective help user mark efficiently reducing time spent uses software form image recognition technology duplicates consistent,3,Service delivery: using AI to provide direct services either to the public or to state/local/tribal/territorial governments
763,Handwriting recognition from forms,"Office of Disability Information Systems, Office of Hearing Operations, Office of Appellate Operations",Social Security Administration,SSA,AI,AI performs OCR against handwritten entries on specific standard forms submitted by clients. This use case is in support of an Robtic Process Automation effort as well as a standalone use.,ai performs ocr handwritten entries specific standard forms submitted clients use case support robtic process automation effort well standalone use,18,Asset management
764,Quick Disability Determinations Process,Office of Retirement of Disability Programs,Social Security Administration,SSA,,"The Quick Disability Determinations (QDD) process uses a computer-based predictive model to screen initial applications to identify cases where a favorable disability determination is highly likely and medical evidence is readily available. The Agency bases the QDD modelï¿½s predictive scores on historical data from application forms completed by millions of applicants. By identifying QDD cases early in the process, the Social Security Administration can prioritize this workload and expedite case processing.  The Agency routinely refines the QDD model to reflect the characteristics of the recent applicant population and optimize its ability to identify strong candidates for expedited processing. ",quick disability determinations qdd process uses predictive model screen initial applications identify cases favorable disability determination highly likely medical evidence readily available agency bases qdd predictive scores historical data application forms completed millions applicants identifying qdd cases early process social security administration prioritize workload expedite case processing agency routinely refines qdd model reflect characteristics recent applicant population optimize ability identify strong candidates expedited processing,4,Service delivery
765,Mobile Wage Reporting (MOBWR),Office of Systems,Social Security Administration,SSA,AI,Mobile Wage Reporting uses AI to extract text/data from scanned images/documents represeting pay stubs or payroll information to enable faster processing.,mobile wage reporting uses ai extract scanned represeting pay stubs payroll information enable faster processing,18,Service / benefits access
794,Predictive modeling of invasive pest species and category at the port of entry using machine learning algorithms,USDA,Department of Agriculture,USDA,MACHINE LEARNING,Macine learning algorithms are used to develop with inspection data and improve prediction ability of detecting invasive/quarantine significant pests at the port of entry.,macine learning algorithms used develop inspection data improve prediction ability detecting significant pests port entry,8,Asset management
795,Detection of pre-symptomatic HLB infected citrus,USDA,Department of Agriculture,USDA,VISUAL ANALYSIS,Identify pixels with HLB infection signature in multispectral and thermal imagery,identify pixels hlb infection signature multispectral thermal imagery,3,Asset management
796,High throughput phenotyping in citrus orchards,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Locate, count, and categorize citrus trees in an orchard to monitor orchard health",locate count categorize citrus trees orchard monitor orchard health,6,Service delivery
797,Detection of aquatic weeds,USDA,Department of Agriculture,USDA,MACHINE LEARNING,Identify and locate aquatic weeds,identify locate aquatic weeds,6,Service delivery
798,Automated Detection & Mapping of Host Plants from Ground Level Imagery,USDA,Department of Agriculture,USDA,MACHINE LEARNING,Generate maps of target trees from ground-level (streetview) imagery,generate maps target trees streetview imagery,9,"""Asset management"""
799,Standardization of cut flower business names for message set data,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,"Natural language processing technique. Data are cleaned (e.g., remove punctuation) to facilitate matching. Cosine similarity is calculated, similar terms are matched, and the results are output.",natural language processing technique data cleaned remove punctuation facilitate matching cosine similarity calculated similar terms matched results output,5,Service / benefits access
800,"Approximate string or fuzzy matching, used to automate matching similar, but not identical, text in administrative documents",USDA,Department of Agriculture,USDA,FUZZY MATCHING,"The algorithm computes a string similarity metric which can be used to classify similar strings into a single category, reducing information duplication and onerous, manual error-checking",algorithm computes string similarity metric used classify similar strings single category reducing information duplication onerous manual,14,"""Internal operations"""
801,Training machine learning models to automatically read file attachments and save information into a more convenient Excel format.,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Artificial intelligence used to automate document processing and information extraction. Program managers often need information from specific form fields that are sent as PDF email attachments. Many emailed documents are received each day, making manually opening each attachment and copying the needed information too time-consuming. ",artificial intelligence used automate document processing information extraction program managers often need information specific form fields sent pdf email attachments many emailed documents received day making manually opening attachment copying needed information,9,Asset management
802,Artificial Intelligence for correlative statistical analysis,USDA,Department of Agriculture,USDA,"NEURAL NETWORKS,CLUSTERING","AI-type statistical techniques are used to model predictive relationships between variables. We routinely use modeling approaches such as random forest, artificial neural networks, k-nearest neighbor clustering, and support vector machines, for statistical prediction. ",statistical techniques used model predictive relationships variables routinely use modeling approaches random forest artificial neural networks neighbor clustering support vector machines statistical prediction,12,Internal operations
803,4% Repair Dashboard,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,"The model reviews the descriptions of expenses tagged to repairs and maintenance and classifies expenses as ""repair"" or ""not repair"" based on keywords in context.",model reviews descriptions expenses tagged repairs maintenance classifies expenses repair repair based keywords context,1,Asset management
804,ARS Project Mapping,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,NLP of research project plans including term analysis and clustering enables national program leaders to work with an interactive dashboard to find synergies and patterns within and across the various ARS research program portfolios.,nlp research project plans including term analysis clustering enables national program leaders work interactive dashboard find synergies patterns within across various ars research program portfolios,9,Policy-making and public engagement
805,NAL Automated indexing,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,"Cogito (vendor) software, uses AI for automated subject indexing to annotate peer reviewed journal articles (~500,000 annually) using the National Ag Library Thesaurus concept space (NALT). Only NALT concepts are annotated as metadata to content in the Library's bibliographic citation database, AGRICOLA, PubAg, and Ag Data Commons.",cogito vendor software uses ai automated subject indexing annotate peer reviewed journal articles annually using national ag library thesaurus concept space nalt nalt concepts annotated metadata content library bibliographic citation database agricola pubag ag data commons,14,Asset management
806,Democratizing Data,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,"The purpose of this project is to use AI tools, machine learning and natural language processing to understand how publicly-funded data and evidence are used to serve science and society.",purpose project use ai tools machine learning natural language processing understand data evidence used serve science society,18,Service Delivery
807,Westat,USDA,Department of Agriculture,USDA,"NATURAL LANGUAGE PROCESSING,MACHINE LEARNING,OTHER","A competition to find automated, yet effective, ways of linking USDA nutrition information to 750K food items in a proprietary data set of food purchases and acquisitions. Competing teams used a number of  AI methods including Natural Language Processing (NLP), random forest, and semantic matching.",competition find automated yet effective ways linking usda nutrition information food items proprietary data set food purchases acquisitions competing teams used number ai methods including natural language processing nlp random forest semantic matching,9,Service / benefits access
808,Retailer Receipt Analysis,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"The Retailer Receipt Analysis is a Proof of Concept (POC) that uses Optical Character Recognition (OCR), an application of artificial intelligence on a sample (no more than 1000) of FNS receipt and invoice data. Consultants will use this data to demonstrate how the existing manual process can be automated, saving staff time, ensuring accurate review, and detecting difficult patterns. The goal of this POC will pave the way for a review system that (1) has an automated workflow and learns from analyst feedback (2) can incorporate know SNAP fraud patterns, look for new patterns, and visualize alerts on these patterns on retailer invoices and receipts.",retailer receipt analysis proof concept poc uses optical character recognition ocr application artificial intelligence sample fns receipt invoice data consultants use data demonstrate existing manual process automated saving staff time ensuring accurate review detecting difficult patterns goal poc pave way review system automated workflow learns analyst feedback incorporate know snap fraud patterns look new patterns visualize alerts patterns retailer invoices receipts,7,Topic: Asset management
809,Nutrition Education & Local Access Dashboard,USDA,Department of Agriculture,USDA,"MACHINE LEARNING,K-MEANS CLUSTERING,VISUAL ANALYSIS","The goal of the this Dashboard is to provide a county-level visualization of FNS nutrition support, specifically nutrition education and local food access, alongside other metrics related to hunger and nutritional health.Â As part of this dashboard, the team developed a K-means clustering script to group States by 7 different clustering options:  Farm to School Intensity & Size, Program Activity Intensity, Ethnicity & Race, Fresh Food Access, School Size, and Program Participation. This allows users to find like-minded, or similar, States based on any of these characteristics, opening up avenues for partnerships with States that they otherwise may not have considered.",goal dashboard provide visualization fns nutrition support specifically nutrition education local food access alongside metrics related hunger nutritional part dashboard team developed clustering script group states different clustering options farm school intensity size program activity intensity ethnicity race fresh food access school size program participation allows users find similar states based characteristics opening avenues partnerships states otherwise may considered,2,Service delivery
810,Land Change Analysis Tool (LCAT),USDA,Department of Agriculture,USDA,MACHINE LEARNING,We employ a random forest machine learning classifier to produce high resolution land cover maps from aerial and/or satellite imagery.  Training data is generate from a custom-built web application.  We built and operate a 192-node docker cluster to parallize CPU-intensive processing tasks.  We are publishing results through a publicly available  Image service.  To date we have mapped over 600 million acres and have generated over 700 thousand traiing samples.,employ random forest machine learning classifier produce high resolution land cover maps aerial satellite imagery training data generate web application built operate docker cluster parallize processing tasks publishing results publicly available image service date mapped million acres generated thousand traiing samples,7,Asset management
811,OCIO/CDO Council Comment Analysis Tool,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,"The Comment Analysis pilot has shown that a toolset leveraging recent advances in Natural Language Processing (NLP) can aid the regulatory comment analysis process. We developed tools that help comment reviewers identify the topics and themes of comments, as well as group comments that are semantically similar. Tools like these offer significant value by creating efficiencies through novel insights and streamlined processing of comments, reducing duplicative, upfront development efforts across government, and ultimately realizing cost savings for agencies and the USG. 
",comment analysis pilot shown toolset leveraging recent advances natural language processing nlp aid regulatory comment analysis process developed tools help comment reviewers identify topics themes comments well group comments semantically similar tools like offer significant value creating efficiencies novel insights streamlined processing comments reducing duplicative upfront development efforts across government ultimately realizing cost savings agencies usg,18,Policy-making and public engagement:
812,Ecosystem Management Decision Support System (EMDS),USDA,Department of Agriculture,USDA,MACHINE LEARNING,"EMDS is a spatial decision support system for landscape analysis and planning that runs as a component of ArcGIS and QGIS. Users develop applications for their specific problem that may use any combination of four AI engines for 1) logic processing, 2) multi-criteria decision analysis, 3) Bayesian networks, and Prolog-based decision trees.",emds spatial decision support system landscape analysis planning runs component arcgis qgis users develop applications specific problem may use combination four ai engines logic processing decision analysis bayesian networks decision trees,12,Asset management
813,Wildland Urban Interface - Mapping Wildfire Loss,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"This is a proof-of-concept study to investigate the use of machine learning (deep learning / convolutional neural networks) and object-based image classification techniques to identify buildings, building loss, and defensible space around buildings before and after a wildfire event in wildland-urban interface settings.",study investigate use machine learning deep learning convolutional neural networks image classification techniques identify buildings building loss defensible space around buildings wildfire event interface settings,12,Asset management
814,CLT Knowledge Database,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"The CLT knowledge database catalogs cross-laminated timber information in an interface that helps users find relevant information. The information system uses data aggregator bots that search the internet for relevant information. These bots search for hundreds of keywords and use machine learning to determine if what is found is relevant. The search engine uses intelligent software to locate and update pertinent CLT references, as well as categorize information with respect to common application and interest areas. As of 2/24/2022, the CLT knowledge database has cataloged >3,600 publications on various aspects of CLT. This system fosters growth of mass timber markets by disseminating knowledge and facilitating collaboration among stakeholders, and by reducing the risk of duplication of efforts. Manufacturers, researchers, design professionals, code officials, government agencies, and other stakeholders directly benefit from the tool, thereby supporting the increasing use of mass timber, which benefits forest health by increasing the economic value of forests.",clt knowledge database catalogs timber information interface helps users find relevant information information system uses data aggregator bots search internet relevant information bots search hundreds keywords use machine learning determine found relevant search engine uses intelligent software locate update pertinent clt references well categorize information respect common application interest areas clt knowledge database cataloged publications various aspects clt system fosters growth mass timber markets disseminating knowledge facilitating collaboration among stakeholders reducing risk duplication efforts manufacturers researchers design professionals code officials government agencies stakeholders directly benefit tool thereby supporting increasing use mass timber benefits forest health increasing economic value forests,6,Asset management: use of AI to manage both physical and digital assets
815,RMRS Raster Utility,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"RMRS Raster Utility is a .NET object oriented library that simplifies data acquisition, raster sampling, and statistical and spatial modeling while reducing the processing time and storage space associated with raster analysis. It includes machine learning techniques.",rmrs raster utility object oriented library simplifies data acquisition raster sampling statistical spatial modeling reducing processing time storage space associated raster analysis includes machine learning techniques,11,Asset management
816,TreeMap 2016,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"TreeMap 2016 provides a tree-level model of the forests of the conterminous United States. It matches forest plot data from Forest Inventory and Analysis (FIA) to a 30x30 meter (m) grid. TreeMap 2016 is being used in both the private and public sectors for projects including fuel treatment planning, snag hazard mapping, and estimation of terrestrial carbon resources. A random forests machine-learning algorithm was used to impute the forest plot data to a set of target rasters provided by Landscape Fire and Resource Management Planning Tools (LANDFIRE: https://landfire.gov). Predictor variables consisted of percent forest cover, height, and vegetation type, as well as topography (slope, elevation, and aspect), location (latitude and longitude), biophysical variables (photosynthetically active radiation, precipitation, maximum temperature, minimum temperature, relative humidity, and vapour pressure deficit), and disturbance history (time since disturbance and disturbance type) for the landscape circa 2016.",treemap provides model forests conterminous united states matches forest plot data forest inventory analysis fia meter grid treemap used private public sectors projects including fuel treatment planning snag hazard mapping estimation terrestrial carbon resources random forests algorithm used impute forest plot data set target rasters provided landscape fire resource management planning tools landfire https predictor variables consisted percent forest cover height vegetation type well topography slope elevation aspect location latitude longitude biophysical variables photosynthetically active radiation precipitation maximum temperature minimum temperature relative humidity vapour pressure deficit disturbance history time since disturbance disturbance type landscape circa,5,Asset management
817,Landscape Change Monitoring System (LCMS),USDA,Department of Agriculture,USDA,"MACHINE LEARNING,VISUAL ANALYSIS","The Landscape Change Monitoring System (LCMS) is a National landsat/sentinal remote sensing-based data produced by the USDA Forest Service for mapping and monitoring changes related to vegetation canopy cover, as well as land cover and land use. The process utilizes temporal change classifications together with training data in a supervised classification process for vegetation gain, and loss as well as land cover and use.",landscape change monitoring system lcms national remote data produced usda forest service mapping monitoring changes related vegetation canopy cover well land cover land use process utilizes temporal change classifications together training data supervised classification process vegetation gain loss well land cover use,12,Asset management
818,Geospatial and Remote Sensing Training Courses,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Several courses are offered which teach the use of software and scripting which allow for machine learning.  The courses change, but current topics include Intro and Advanced Change Detection, eCognition (software package), Geospatial Scripting for Google Earth Engine.  Some of the courses show how to use Collect Earth Online.",several courses offered teach use software scripting allow machine learning courses change current topics include intro advanced change detection ecognition software package geospatial scripting google earth engine courses show use collect earth online,3,Topic: Service Delivery
819,Forest Health Detection Monitoring,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Machine learning models are used to (1) upscale training data, using Sentinel-2, Landsat,  MODIS, and lidar imagery, that was collected from both the field and high-resolution imagery to map and monitor stages of forest mortality and defoliation across the United States, and (2) to post-process raster outputs to vector polygons.",machine learning models used upscale training data using landsat modis lidar imagery collected field imagery map monitor stages forest mortality defoliation across united states raster outputs vector polygons,7,Asset management
820,Cropland Data Layer,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"A machine learning algorithm is used to interpret readings from satellite-based sensors and CLASSIFY the type of crop or activity that falls in each 30 square meter pixel (a box of fixed size) on the ground.  The algorithms are trained on USDA&%2339;s Farm Services Agency data and other sources of data as sources of &quot;ground truth&quot;.  It allows us to not only produce a classification, but to assess the accuracy of the classification as well.  For commodities, like corn and soybeans, the CDL is highly accurate.  The CDL has been produced for national coverage since 2008.  Some summary and background about the CDL is available in a number of peer reviewed research papers and presentations
https://www.nass.usda.gov/Research_and_Science/Cropland/othercitations/index.php",machine learning algorithm used interpret readings sensors classify type crop activity falls square meter pixel box fixed size ground algorithms trained usda farm services agency data sources data sources quot ground truth quot allows us produce classification assess accuracy classification well commodities like corn soybeans cdl highly accurate cdl produced national coverage since summary background cdl available number peer reviewed research papers presentations https,15,Topic: Asset management
821,List Frame Deadwood Identification,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"The deadwood model leverages boosted regression trees with inputs such as  administrative linkage data, frame data, and historical response information as inputs, to produce a propensity score representing a relative likelihood of a farm operation being out of business.  Common tree splits were identified using the model and combined with expert knowledge to develop a recurring process for deadwood clean up.",deadwood model leverages boosted regression trees inputs administrative linkage data frame data historical response information inputs produce propensity score representing relative likelihood farm operation business common tree splits identified using model combined expert knowledge develop recurring process deadwood clean,2,Topic: Asset management
822,Census of Agricuilture Response Propensity Scores,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"The response propensity scores to the COA are derived from random forest models that use historical data, control data, and other survey data. These scores are used to help target more effective data collection.",response propensity scores coa derived random forest models use historical data control data survey data scores used help target effective data collection,7,Internal operations
823,Climate Change Classification NLP,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,"The model classifies NIFA funded projects as climate change related or not climate related through natural language processing techniques. The model input features include text fields containing the project's title, non-technical summary, objectives and keywords. The target is a dummy variable classification of projects as climate change related or not climate change related.",model classifies nifa funded projects climate change related climate related natural language processing techniques model input features include text fields containing project title summary objectives keywords target dummy variable classification projects climate change related climate change related,12,"""Service / benefits access"""
824,Operational water supply forecasting for western US rivers,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Western US water management is underpinned by forecasts of spring-summer river flow volumes made using operational hydrologic models. The USDA Natural Resources Conservation Service (NRCS) National Water and Climate Center operates the largest such forecast system regionally, carrying on a nearly century-old tradition. The NWCC recently developed a next-generation prototype for generating such operational water supply forecasts (WSFs), the multi-model machine-learning metasystem (M4), which integrates a variety of AI and other data-science technologies carefully chosen or developed to satisfy specific user needs. Required inputs are data around snow and precipitation from the NRCS Snow Survey and Water Supply Forecast program SNOTEL environmental monitoring network, but are flexible.  In hindcasting test-cases spanning diverse environments across the western US and Alaska, out-of-sample accuracy improved markedly over current benchmarks. Various technical design elements, including multi-model ensemble modeling, autonomous machine learning (AutoML), hyperparameter pre-calibration, and theory-guided data science, collectively permitted automated training and operation.  Live operational testing at a subset of sites additionally demonstrated logistical feasibility of workflows, as well as geophysical explainability of results in terms of known hydroclimatic processes, belying the black-box reputation of machine learning and enabling relatable forecast storylines for NRCS customers.",western us water management underpinned forecasts river flow volumes made using operational hydrologic models usda natural resources conservation service nrcs national water climate center operates largest forecast system regionally carrying nearly tradition nwcc recently developed prototype generating operational water supply forecasts wsfs metasystem integrates variety ai technologies carefully chosen developed satisfy specific user needs required inputs data around snow precipitation nrcs snow survey water supply forecast program snotel environmental monitoring network flexible hindcasting spanning diverse environments across western us alaska accuracy improved markedly current benchmarks various technical design elements including ensemble modeling autonomous machine learning automl hyperparameter data science collectively permitted automated training operation live operational testing subset sites additionally demonstrated logistical feasibility workflows well geophysical explainability results terms known hydroclimatic processes belying reputation machine learning enabling relatable forecast storylines nrcs customers,19,Asset management
825,Ecological Site Descriptions (machine learning),USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Analysis of over 20 million records of soils data and 20,000 text documents of ecological state and transition information. ",analysis million records soils data text documents ecological state transition information,9,Asset management
826,Conservation Effects Assessment Project,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"The goal is to predict conservation benefits at the field level. The model uses farmer survey data, APEX modeling results and environmental data.",goal predict conservation benefits field level model uses farmer survey data apex modeling results environmental data,7,Service delivery
827,Digital Imagery (no-change) for NRI program,USDA,Department of Agriculture,USDA,NEURAL NETWORKS,Using neural networks and other AI technologies to detect no-changes in digital imagery for the NRI (national resources inventory) program ,using neural networks ai technologies detect digital imagery nri national resources inventory program,12,"""Asset management"""
828,Artificial Intelligence SPAM Mitigation Project,USDA,Department of Agriculture,USDA,"MACHINE LEARNING,MACHINE LANGUAGE LEARNING","The AI Solution invoves Robotic Process Automation + AI/ML model solution to automatically classify and remove spam and marketing emails that appear in civil rights complaints email channels. A significant portion of incoming OASCR emails are spam, marketing and phishing emails. 
",ai solution invoves robotic process automation model solution automatically classify remove spam marketing emails appear civil rights complaints email channels significant portion incoming oascr emails spam marketing phishing emails,4,"""Service / benefits access"""
829,Acquisition Approval Request Compliance Tool,USDA,Department of Agriculture,USDA,NATURAL LANGUAGE PROCESSING,"A natural language processing (NLP) model was developed to utilize the text in procurement header and line descriptions within USDA's Integrated Acquisition System (IAS) to determine the likelihood that an award is IT-related, and therefore might require an AAR. The model uses the text characteristics for awards that have an AAR number entered into IAS and then calculates the probability of being IT-related for those procurements that did not have an AAR Number entered in IAS.",natural language processing nlp model developed utilize text procurement header line descriptions within usda integrated acquisition system ias determine likelihood award therefore might require aar model uses text characteristics awards aar number entered ias calculates probability procurements aar number entered ias,9,Asset management: use of AI to manage both physical and digital assets
830,Intelligent Ticket Routing,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Routes BMC Remedy tickets to proper work group automatically utilizing python, jupyterhub, scikit learn, gitlab, flask, gunicorn, nginx, erms.",routes bmc remedy tickets proper work group automatically utilizing python jupyterhub scikit learn gitlab flask gunicorn nginx erms,14,Topic: Hotlines and service desks
831,Predictive Maintenance Impacts,USDA,Department of Agriculture,USDA,MACHINE LEARNING,"Predict impacts of DISC maintenance on infrastructure items.  Utilizes: einblick, mysql, python, linux, tableau",predict impacts disc maintenance infrastructure items utilizes einblick mysql python linux tableau,14,Asset management
832,Video Surveillance System,USDA,Department of Agriculture,USDA,VISUAL ANALYSIS,"The Video Surveillance System: the VSS system design will include a video management system, NVRs, DVRs, encoders, fixed cameras, Pan and Tilt cameras, network switches, routers, IP cables, equipment racks and mounting hardware. The Video Surveillance System (VSS)- shall control multiple sources of video surveillance subsystems to collect, manage, and present video clearly and concisely. VMS shall integrate the capabilities of each subsystem across single or multiple sites, allowing video management of any compatible analog or digital video device through a unified configuration platform and viewer. Disparate video systems are normalized and funneled through a shared video experience. Drag and drop cameras from the Security Management System hardware tree into VMS views and leverage Security Management System alarm integration and advanced features that help the operator track a target through a set of sequential cameras with a simplified method to select a new central camera and surrounding camera views.",video surveillance system vss system design include video management system nvrs dvrs encoders fixed cameras pan tilt cameras network switches routers ip cables equipment racks mounting hardware video surveillance system vss shall control multiple sources video surveillance subsystems collect manage present video clearly concisely vms shall integrate capabilities subsystem across single multiple sites allowing video management compatible analog digital video device unified configuration platform viewer disparate video systems normalized funneled shared video experience drag drop cameras security management system hardware tree vms views leverage security management system alarm integration advanced features help operator track target set sequential cameras simplified method select new central camera surrounding camera views,16,Asset management: use of AI to manage both physical and digital assets
833,Artificial Intelligence physical therapy app,,Department of Veterans Affairs,VA,,This app is a physical therapy support tool.Â  It is a data source agnostic tool which takes input from a variety of wearable sensors and then analyzes the data to give feedback to the physical therapist in an explainable format.Â ,app physical therapy support data source agnostic tool takes input variety wearable sensors analyzes data give feedback physical therapist explainable,14,"""Service delivery: use of AI to provide direct services either to the public or to state/local/tribal/territorial governments """
834,Artificial intelligence coach in cardiac surgery,,Department of Veterans Affairs,VA,ARTIFICIAL INTELLIGENCE,"The artificial intelligence coach in cardiac surgery infers misalignment in team membersâ mental models during complex healthcare task execution. Of interest are safety-critical domains (e.g., aviation, healthcare), where lack of shared mental models can lead to preventable errors and harm. Identifying model misalignment provides a building block for enabling computer-assisted interventions to improve teamwork and augment human cognition in the operating room.",artificial intelligence coach cardiac surgery infers misalignment team mental models complex healthcare task execution interest domains aviation healthcare lack shared mental models lead preventable errors harm identifying model misalignment provides building block enabling interventions improve teamwork augment human cognition operating room,10,Service delivery:
835,AI Cure,,Department of Veterans Affairs,VA,,AICURE is a phone app that monitors adherence to orally prescribed medications during clinical or pharmaceutical sponsorÂ  drug studies.,aicure phone app monitors adherence orally prescribed medications clinical pharmaceutical sponsorâ drug studies,9,Service delivery
836,Acute kidney injury (AKI),,Department of Veterans Affairs,VA,ARTIFICIAL INTELLIGENCE,"This project, a collaboration with Google DeepMind, focuses on detecting acute kidney injury (AKI), ranging from minor loss of kidney function to complete kidney failure. The artificial intelligence can also detect AKI that may be the result of another illness.",project collaboration google deepmind focuses detecting acute kidney injury aki ranging minor loss kidney function complete kidney failure artificial intelligence also detect aki may result another illness,13,Service delivery
837,Assessing lung function in health and disease,,Department of Veterans Affairs,VA,ARTIFICIAL INTELLIGENCE,Health professionals can use this artificial intelligence to determine predictors of normal and abnormal lung function and sleep parameters.,health professionals use artificial intelligence determine predictors normal abnormal lung function sleep parameters,13,Service / benefits access
838,Automated eye movement analysis and diagnostic prediction of neurological disease,,Department of Veterans Affairs,VA,,"Artificial intelligenceÂ  recursively analyzes previously collected data to both improve the quality and accuracy of automated algorithms, as well as to screen for markers of neurological disease (e.g. traumatic brain injury, Parkinson's, stroke, etc).",artificial intelligenceâ recursively analyzes previously collected data improve quality accuracy automated algorithms well screen markers neurological disease traumatic brain injury parkinson stroke etc,13,Service delivery: use of AI to provide direct services either to the public or to state/local/tribal/territorial governments
839,Automatic speech transcription engines to aid scoring neuropsychological tests.,,Department of Veterans Affairs,VA,ARTIFICIAL INTELLIGENCE,Automated speech transcription engines analyze the cognitive decline of older VA patients. Digitally recorded speech responses are transcribed using multiple artificial intelligence-based speech-to-text engines. The transcriptions are fused together to reduce or obviate the need for manual transcription of patient speech in order to score the neuropsychological tests.,automated speech transcription engines analyze cognitive decline older va patients digitally recorded speech responses transcribed using multiple artificial engines transcriptions fused together reduce obviate need manual transcription patient speech order score neuropsychological tests,5,Service / benefits access
840,CuraPatient,,Department of Veterans Affairs,VA,ARTIFICIAL INTELLIGENCE,"CuraPatient is a remote tool that allows patients to better manage their conditions without having to see a provider.Â  Driven by artificial intelligence, it allows patients to create a profile to track their health, enroll in programs, manage insurance, and schedule appointments.",curapatient remote tool allows patients better manage conditions without see driven artificial intelligence allows patients create profile track health enroll programs manage insurance schedule appointments,12,Service delivery
841,Digital command center,,Department of Veterans Affairs,VA,,The Digital Command Center seeks to consolidate all data in a medical center and apply predictive prescriptive analytics to allow leaders to better optimize hospital performance.Â Â ,digital command center seeks consolidate data medical center apply predictive prescriptive analytics allow leaders better optimize hospital â,3,Service delivery
